Locus Tag	Name	FDR (Mouse)	logFC (Mouse)	Fitness (Mouse)	FDR (Pig)	logFC (Pig)	Fitness (Pig)	FDR (Chicken)	logFC (Chicken)	Fitness (Chicken)	FDR (Cattle)	logFC (Cattle)	Fitness (Cattle)
SL1344_3825	SL1344_3825	0.57452443	0.705965086	0	0.675473092	0.685162093	0	0.625017549	-0.966956606	0	0.424485259	-0.447378119	0
SL1344_3826	SL1344_3826	0.545021956	-0.797748784	0	0.936671378	-0.161616836	0	0.433796625	1.518923336	0	na	na	3
SL1344_3827	SL1344_3827	0.30941744	-0.899550101	0	0.441595038	1.00002938	0	0.586287472	1.258817585	0	0.000877827	2.413134395	1
SL1344_3830	SL1344_3830	0.218755792	-1.017517457	0	0.730362156	0.493861722	0	0.646225445	1.151573077	0	na	na	3
SL1344_3832	atpD	0.00000146	-15	2	1.69E-14	-5.751910163	2	2.33E-08	-15	2	3.17E-26	-15	2
SL1344_3833	atpG	na	na	3	1.71E-08	-15	2	7.57E-10	-15	2	3.17E-26	-15	2
SL1344_3834	atpA	2.45E-37	-15	2	0.004786119	-15	2	3.23E-08	-15	2	6.62E-51	-15	2
SL1344_3835	atpH	na	na	3	0.032862398	-15	2	0.000000114	-15	2	1.04E-30	-15	2
SL1344_3836	atpF	6.04E-36	-15	2	na	na	3	0.00012508	-15	2	4.97E-18	-15	2
SL1344_3838	atpB	2.51E-33	-15	2	na	na	3	na	na	3	na	na	3
SL1344_3839	atpI	4.86E-34	-8.169101483	2	0.000937937	-15	2	1.22E-09	-15	2	5.21E-20	-15	2
SL1344_3840	gidB	0.704923777	-0.58989612	0	0.000805043	-2.609844022	2	0.751317202	0.944691157	0	0.033987196	-1.093852157	2
SL1344_3841	gidA	1.61E-42	-9.705754253	2	4.97E-08	-15	2	4.16E-11	-15	2	3.85E-33	-15	2
SL1344_3842	mioC	0.934611363	-0.17606299	0	0.806549217	0.309989333	0	0.796975577	-0.674976141	0	0.022888015	1.748959065	1
SL1344_3843	asnCb	0.98965239	0.063898497	0	na	na	3	na	na	3	na	na	3
SL1344_3844	asnA	0.298994105	-0.945087336	0	0.241023755	2.552266452	0	0.37147979	1.640795899	0	0.003753229	3.054740054	1
SL1344_3845	yieM	0.13973542	-1.171469091	0	0.543220454	-0.733851031	0	0.788072361	0.865171582	0	0.01185522	2.007072419	1
SL1344_3846	yieN	0.000315465	-2.152932096	2	0.184169668	3.165250671	0	0.615359571	1.192789108	0	0.013033017	2.09486373	1
SL1344_3847	kup	0.0000315	-2.311367031	2	0.430503437	-0.931131744	0	0.481423454	1.456725633	0	0.003304554	-1.971013595	2
SL1344_3848	rbsD	0.578429804	-0.970308763	0	na	na	3	na	na	3	na	na	3
SL1344_3849	rbsA	0.911756713	-0.390561315	0	0.523007979	1.487860713	0	0.936572206	0.417912992	0	0.015791613	1.879174522	1
SL1344_3850	rbsC	0.075689976	-1.299589049	0	0.443637078	1.741539087	0	0.79088708	0.860984071	0	0.162581627	1.064888473	0
SL1344_3851	rbsB	na	na	3	0.20010884	2.571419605	0	0.797839656	0.82640127	0	0.034450353	-1.575507431	2
SL1344_3852	rbsK	0.175695637	-1.100325411	0	0.965544024	0.09500965	0	0.344492071	-1.395033383	0	0.669360753	0.341601807	0
SL1344_3853	rbsR	0.490970806	-1.039077792	0	0.227837525	-0.983380361	0	0.138196318	-1.873456562	0	0.0000476	-2.167394568	2
SL1344_3854	yieO	0.62344406	0.649133374	0	0.042197771	-2.087872756	2	0.617871751	-3.222077604	0	0.071796065	1.330146457	0
SL1344_3857	yieP	0.409076992	-0.787742559	0	na	na	3	na	na	3	na	na	3
SL1344_3858	yifA	0.77274271	-0.430752136	0	0.063013795	-2.018925402	0	0.000578121	-3.710702571	2	0.005673687	-1.240159897	2
SL1344_3859	yifE	0.103842705	-1.20926375	0	0.408728064	-0.943344783	0	0.856889921	-0.743745856	0	0.0000146	-2.014132364	2
SL1344_3860	comM	0.79089896	0.533267985	0	0.826061245	0.345828588	0	0.578292518	1.269003088	0	na	na	3
SL1344_3861	ilvG	0.398137362	-0.806293603	0	0.345435373	1.851478121	0	0.00000111	-5.21984744	2	0.02043186	2.3270436	1
SL1344_3862	ilvM	0.391063091	-0.815417738	0	na	na	3	na	na	3	na	na	3
SL1344_3863	ilvE	0.134066857	-1.146955176	0	0.407260039	1.89507208	0	0.000000675	-5.489406291	2	2.04E-18	-4.883330054	2
SL1344_3864	ilvD	0.342085809	-0.894377862	0	0.124232048	-1.509918503	0	8.12E-08	-6.014596743	2	2.03E-21	-5.533098531	2
SL1344_3865	ilvA	0.699762142	-0.529277266	0	0.463546523	1.3739856	0	0.951302691	-0.21349533	0	0.057024721	1.591497023	0
SL1344_3866	SL1344_3866	0.652995856	-0.558088898	0	na	na	3	na	na	3	na	na	3
SL1344_3868	ilvY	na	na	3	0.700948926	0.524386589	0	0.757757992	-0.814152022	0	na	na	3
SL1344_3869	ilvC	0.075480372	-1.265877786	0	0.166685494	-1.390045556	0	0.001547245	-3.379562733	2	0.448319337	-0.61988557	0
SL1344_3870	ppiC	na	na	3	0.592937939	0.822334728	0	0.969779673	0.320096382	0	na	na	3
SL1344_3870A	SL1344_3870A	0.872706134	0.324553929	0	na	na	3	na	na	3	na	na	3
SL1344_3872	rep	na	na	3	0.000133571	-15	2	5.33E-10	-15	2	8.90E-32	-15	2
SL1344_3873	gppA	0.092492301	-1.284940055	0	0.042200963	-1.549547867	2	0.006455849	-2.91255918	2	0.001480964	-1.85584048	2
SL1344_3874	rhlB	0.943566114	0.191886921	0	0.190369371	2.302186279	0	0.004013031	-3.136791668	2	0.033700191	1.72016265	1
SL1344_3875	trxA	3.59E-48	-15	2	7.08E-10	-7.48738568	2	4.40E-10	-8.206108779	2	5.24E-30	-8.058364116	2
SL1344_3877	rfe	0.000000191	-2.757922228	2	0.0000525	-4.200724504	2	9.02E-10	-7.56671044	2	2.31E-34	-15	2
SL1344_3878	wzzE	0.830854396	-0.407533983	0	0.166854479	2.255546322	0	0.146596417	-1.79821824	0	0.047915695	1.438349803	1
SL1344_3879	rffE	0.000000127	-2.76971626	2	0.000000179	-5.207892852	2	0.00000114	-5.35633826	2	1.80E-17	-6.241707781	2
SL1344_3880	rffD	0.0000218	-2.576345443	2	0.000805596	-3.03684731	2	0.0000062	-4.789005103	2	0.187243646	0.992875079	0
SL1344_3881	rffG	0.778814467	-0.485711587	0	0.385168724	1.353402355	0	0.214102323	2.016804358	0	0.069966219	1.460003523	0
SL1344_3883	rffC	1.00E-15	-4.865004541	2	na	na	3	1.70E-11	-15	2	2.22E-34	-15	2
SL1344_3884	rffA	2.15E-43	-8.976346246	2	6.29E-09	-15	2	1.62E-11	-15	2	2.65E-34	-15	2
SL1344_3885	wzxE	4.43E-41	-9.110186136	2	na	na	3	1.43E-10	-15	2	7.60E-30	-15	2
SL1344_3888	rffM	na	na	3	0.00000163	-5.971493572	2	1.43E-09	-7.838748964	2	2.82E-15	-4.264300572	2
SL1344_3889	yifK	0.10397506	-1.242057282	0	0.306467087	1.363252751	0	0.757092843	0.927852033	0	0.012374439	1.822987745	1
SL1344_3890	hemY	0.661286834	-0.56908274	0	0.408728064	1.829481117	0	0.840466986	-0.555761851	0	0.005614741	2.258359774	1
SL1344_3891	hemX	0.821409604	-0.36033194	0	0.268540607	1.205142647	0	0.020225369	-2.558342448	2	0.086175953	-1.237739352	0
SL1344_3894	cyaA	1.65E-15	-4.373059602	2	5.17E-26	-8.110065358	2	2.58E-09	-8.819012746	2	1.04E-12	-4.146148653	2
SL1344_3895	SL1344_3895	0.955464061	-0.128352375	0	0.00000174	-15	2	0.000000457	-6.103089568	2	3.31E-34	-15	2
SL1344_3896	SL1344_3896	0.071967414	-4.0818927	0	1.99E-09	-15	2	4.69E-10	-15	2	3.16E-37	-15	2
SL1344_3897	SL1344_3897	0.811067846	0.429622046	0	0.054599781	-1.850980765	0	4.95E-09	-15	2	5.31E-32	-15	2
SL1344_3898	cyaY	0.208813741	-1.026718374	0	na	na	3	na	na	3	na	na	3
SL1344_3899A	SL1344_3899A	0.404360609	0.878258884	0	0.684549857	0.391744404	0	0.968172204	-0.117015699	0	0.754127021	0.263282221	0
SL1344_3902	yigA	0.007175936	-1.679982472	2	0.117842845	-1.532904996	0	0.000343544	-3.708812879	2	0.023592612	-1.619752375	2
SL1344_3903	xerC	na	na	3	2.39E-21	-8.906393799	2	1.44E-08	-15	2	4.15E-14	-15	2
SL1344_3904	yigB	0.783984629	0.462829555	0	0.63521882	0.843265386	0	0.943856437	0.382081834	0	0.563691083	0.442586486	0
SL1344_3905	uvrD	0.000000017	-3.007377562	2	4.48E-08	-15	2	1.72E-10	-8.769440817	2	1.28E-54	-15	2
SL1344_3906	corA	0.684472529	-0.738687882	0	0.000644701	-2.63861251	2	5.09E-08	-6.891259561	2	1.79E-33	-15	2
SL1344_3907	yigF	0.805952021	0.429540073	0	na	na	3	na	na	3	na	na	3
SL1344_3908	yigG	0.98672671	0.076066911	0	0.000000737	-6.044394119	2	0.000000338	-5.842364835	2	2.31E-34	-15	2
SL1344_3909	rarD	0.598412326	-0.804427552	0	0.906234389	-0.171097373	0	0.759909577	0.926256504	0	0.003180075	2.362216031	1
SL1344_3910	yigI	0.241369777	1.073307918	0	0.343743547	1.593307923	0	0.94187681	0.371887445	0	0.000123495	2.050183572	1
SL1344_3911	pldA	0.297602738	-0.9271569	0	na	na	3	na	na	3	na	na	3
SL1344_3912	recQ	0.013289777	-1.652916156	2	0.123646583	3.783424662	0	0.075279495	-2.085378404	0	0.160997162	1.090296471	0
SL1344_3913	rhtC	na	na	3	0.41231394	1.762960803	0	0.891583098	0.56559186	0	0.019252489	1.908952577	1
SL1344_3915	pldB	0.934796569	0.214225013	0	na	na	3	na	na	3	na	na	3
SL1344_3916	yigL	0.848179148	-0.324507036	0	0.465991921	1.733855753	0	1	0.073286742	0	0.115408814	1.240448602	0
SL1344_3917	yigM	0.633769108	0.652278873	0	0.09148078	2.418521433	0	0.771926472	0.904079562	0	0.067080496	1.343452317	0
SL1344_3918	metR	0.608944756	-0.611179532	0	0.928828715	0.094376576	0	0.934265285	0.432857026	0	na	na	3
SL1344_3919	metE	0.187495019	-1.116771851	0	0.70980922	0.596399944	0	0.423042719	1.552190929	0	0.09700519	0.962624877	0
SL1344_3920	SL1344_3920	0.469624235	-0.744483066	0	0.526822153	0.986273017	0	0.369418166	1.66722207	0	0.201420291	1.058276096	0
SL1344_3921	dlhH	0.800539331	0.434867762	0	0.397693613	1.315140427	0	0.953587375	-0.181904153	0	0.035473338	1.506945842	1
SL1344_3922	udp	0.285666661	-1.005491569	0	na	na	3	na	na	3	na	na	3
SL1344_3923	yigN	0.584534686	-0.642981394	0	na	na	3	na	na	3	na	na	3
SL1344_3925	yigP	na	na	3	1.14E-20	-5.792227547	2	0.0000211	-5.941136569	2	3.00E-29	-15	2
SL1344_3927	tatA	na	na	3	3.65E-10	-15	2	2.16E-11	-15	2	0.203631558	-0.797620111	0
SL1344_3928	tatB	2.32E-14	-4.448975629	2	3.51E-09	-4.152767907	2	2.04E-11	-15	2	na	na	3
SL1344_3929	tatC	1.92E-13	-4.15809511	2	4.22E-10	-15	2	3.18E-09	-7.222156721	2	3.34E-34	-15	2
SL1344_3930	tatD	0.956156007	-0.130147526	0	0.488895767	1.606011808	0	0.561429538	1.290247381	0	0.001258294	2.756284496	1
SL1344_3931	rfaH	6.84E-10	-3.504831744	2	2.57E-12	-15	2	6.17E-12	-15	2	9.13E-33	-15	2
SL1344_3933	fre	2.12E-31	-7.177622282	2	0.000367373	-4.206590262	2	0.338757247	-1.398642007	0	8.72E-11	-3.339319632	2
SL1344_3934	SL1344_3934	0.373746173	0.944839417	0	8.48E-24	-7.781133097	2	5.79E-10	-8.466454285	2	7.89E-34	-15	2
SL1344_3935	fadA	0.170336862	-1.067645149	0	na	na	3	na	na	3	na	na	3
SL1344_3936	fadB	0.032002477	-1.492492044	2	0.434408338	1.859854467	0	0.973053855	0.242339423	0	0.737100936	0.273885988	0
SL1344_3937	pepQ	0.663576082	-0.552559698	0	0.335967098	1.329894536	0	0.63874681	2.41780392	0	0.0000448	2.036550546	1
SL1344_3938	yigZ	0.168069292	-1.107707376	0	0.710406535	0.833332437	0	0.941837112	0.530630103	0	0.344844732	-0.689916001	0
SL1344_3939	trkH	4.38E-19	-5.023870695	2	0.000000185	-15	2	5.51E-10	-8.522215636	2	6.25E-21	-6.442576489	2
SL1344_3941	mobB	0.728475601	0.525113761	0	0.500530397	-0.793727818	0	0.545700376	1.327513046	0	0.082313531	-1.001588636	0
SL1344_3942	mobA	0.104046737	-1.238979339	0	0.00000049	-5.610179649	2	0.696201967	-0.853223991	0	0.375247963	0.715369455	0
SL1344_3944	rodA	0.0000777	-2.152444874	2	0.930952417	0.145360356	0	1	0.327061916	0	na	na	3
SL1344_3945	dsbA	9.54E-21	-5.110796939	2	1.29E-10	-15	2	5.25E-11	-15	2	3.46E-24	-15	2
SL1344_3946	yihG	0.621463179	-0.83443501	0	0.780919433	0.479167837	0	0.973053855	0.206194396	0	0.35453303	0.762508692	0
SL1344_3947	polA	na	na	3	2.52E-08	-15	2	2.58E-09	-8.905803496	2	1.59E-30	-15	2
SL1344_3950	yihI	0.863217567	-0.457303553	0	0.702308438	0.583764945	0	0.908527629	0.506780227	0	0.215509359	1.022620711	0
SL1344_3951	hemN	0.363931211	0.925223226	0	3.35E-10	-7.512794844	2	1.67E-10	-9.552994297	2	0.203867116	-0.962434524	0
SL1344_3951A	yshB	na	na	3	0.706942928	1.107807096	0	0.751317202	1.184791776	0	na	na	3
SL1344_3952	glnG	0.266624118	-0.971314014	0	0.023439802	-2.262230004	2	0.000137013	-4.076066149	2	0.403037071	-0.517807846	0
SL1344_3953	glnL	0.014167447	-1.527313629	2	0.000128728	-3.815575429	2	0.00000093	-5.413736614	2	1.83E-10	-3.277665769	2
SL1344_3954	glnA	na	na	3	3.04E-08	-2.724547306	2	0.0000077	-5.234867772	2	4.67E-25	-3.96445572	2
SL1344_3955	typA	0.0000073	-2.574372451	2	0.00375446	-2.624308283	2	0.012314192	-2.738113026	2	0.021127503	-1.550395563	2
SL1344_3956	SL1344_3956	0.604719635	-1.220062903	0	1	-0.003955043	0	0.964259502	0.279444855	0	0.528433724	0.540917955	0
SL1344_3958	SL1344_3958	0.452672742	-1.029263008	0	7.39E-12	-15	2	9.35E-09	-7.849782925	2	1.49E-24	-15	2
SL1344_3959	SL1344_3959	0.481441232	0.797882008	0	3.77E-14	-5.466260155	2	5.79E-11	-15	2	2.22E-34	-15	2
SL1344_3960	SL1344_3960	0.789337998	0.441240877	0	2.31E-12	-15	2	0.007989072	-2.895112955	2	2.22E-34	-15	2
SL1344_3961	SL1344_3961	0.735925839	-0.462419103	0	2.53E-10	-15	2	1.04E-09	-8.283853801	2	6.15E-63	-15	2
SL1344_3962	ompL	0.285107396	1.208965707	0	na	na	3	na	na	3	na	na	3
SL1344_3963	yihO	0.97279691	0.109633532	0	5.98E-10	-4.825746824	2	0.009503696	-2.86147166	2	6.79E-34	-15	2
SL1344_3964	yihP	0.594245518	-0.61085924	0	0.0000114	-4.020905766	2	0.166311329	-1.927210246	0	0.713995386	-0.221376776	0
SL1344_3965	yihQ	0.608898556	0.664033652	0	0.37032291	1.860169946	0	0.857354208	0.681247932	0	0.062423574	1.480739291	0
SL1344_3966	yihR	0.701490796	0.549906887	0	na	na	3	na	na	3	na	na	3
SL1344_3967	yihS	0.527361652	0.759168432	0	0.283343387	1.304714519	0	0.866630363	0.656728336	0	0.041056349	1.490835291	1
SL1344_3969	yihU	0.20145408	-1.068748585	0	0.8732349	0.22785839	0	0.983470088	0.200601397	0	0.121841535	-0.882000026	0
SL1344_3970	yihV	0.473345658	-1.0458776	0	na	na	3	na	na	3	na	na	3
SL1344_3971	yihW	1.46E-10	-3.607460225	2	na	na	3	na	na	3	na	na	3
SL1344_3972	yihX	na	na	3	0.352182314	1.157697247	0	0.852858469	0.68005586	0	0.09644073	1.376968909	0
SL1344_3973	rbn	0.94212619	0.194020435	0	0.450800341	1.797805862	0	0.607191321	1.226918722	0	0.235454897	0.950664545	0
SL1344_3974	yihZ	0.914333836	-0.385919024	0	na	na	3	0.951968086	0.651843729	0	0.14858387	1.073191309	0
SL1344_3975	yiiD	0.984706881	0.082617127	0	0.821760172	0.375934215	0	0.880470829	0.596327221	0	0.000808039	2.737518231	1
SL1344_3976	SL1344_3976	3.01E-27	-7.011776678	2	na	na	3	na	na	3	na	na	3
SL1344_3977	SL1344_3977	0.265531131	-0.956334855	0	0.808765199	0.615885526	0	0.977228316	0.227788168	0	0.204412178	1.14838775	0
SL1344_3978	SL1344_3978	0.872408793	-0.628857843	0	0.291546374	-1.155926996	0	0.129495413	2.405924123	0	0.110869783	-0.933718584	0
SL1344_3979	SL1344_3979	0.777207121	0.473948583	0	na	na	3	na	na	3	na	na	3
SL1344_3980	SL1344_3980	0.133103804	-1.119526447	0	na	na	3	na	na	3	na	na	3
SL1344_3981	fdhE	0.379317814	-0.881033383	0	0.539626033	-0.836203637	0	0.024570551	-2.533439885	2	0.00018528	-1.892099707	2
SL1344_3982	fdoI	0.867242508	-0.296287306	0	0.874238974	0.222736166	0	0.985974353	-0.044935809	0	0.003675802	2.656087415	1
SL1344_3983	fdoH	0.513060573	0.766738201	0	0.277545776	1.488610174	0	0.73758382	1.000737366	0	0.061921947	1.661199197	0
SL1344_3984	fdoG	0.207627404	-1.078315547	0	0.456652312	1.233945658	0	0.615047489	1.204918178	0	0.003132416	2.376972057	1
SL1344_3986	fdhD	0.000332864	-2.375865148	2	na	na	3	na	na	3	na	na	3
SL1344_3987	SL1344_3987	0.371048285	-0.829505266	0	2.33E-21	-5.68329328	2	2.35E-09	-7.329765473	2	2.41E-36	-15	2
SL1344_3988	yiiG	0.274530478	1.033954511	0	1.73E-09	-4.008753958	2	0.001319271	-3.471850103	2	6.93E-34	-15	2
SL1344_3989	SL1344_3989	0.42959467	-0.813528218	0	na	na	3	na	na	3	na	na	3
SL1344_3990	SL1344_3990	0.750227411	-0.460757057	0	na	na	3	na	na	3	na	na	3
SL1344_3991	SL1344_3991	0.792448943	-0.414543039	0	0.184169668	1.679922512	0	0.726075581	1.003763252	0	0.562137998	0.445361651	0
SL1344_3993	SL1344_3993	0.776797816	-0.423033274	0	0.330586942	1.516912316	0	0.737973859	0.969968367	0	0.002914442	2.575485934	1
SL1344_3994	rhaD	0.388495588	0.98624652	0	0.3019789	1.240184439	0	0.818862729	0.763202199	0	0.007229261	1.643043693	1
SL1344_3995	rhaA	na	na	3	0.272919583	2.421053854	0	0.868074497	0.849703843	0	0.000737073	3.002543138	1
SL1344_3996	rhaB	0.10578115	-1.224615776	0	0.567034265	-0.701404409	0	1	0.132275159	0	0.109762686	1.200302254	0
SL1344_3997	rhaS	0.598644592	0.921162681	0	0.717762908	-0.542910329	0	0.852858469	0.942171886	0	0.066473233	1.433474481	0
SL1344_3998	rhaR	0.818599966	-0.399086293	0	0.529110462	0.847237713	0	1	0.082285972	0	0.705042741	0.329093964	0
SL1344_3999	rhaT	0.318003595	-0.912048984	0	0.140745479	2.603672041	0	0.51426611	1.400076585	0	0.070940975	1.321087271	0
SL1344_4000	SL1344_4000	0.697921354	0.570445835	0	1.99E-09	-15	2	1.26E-09	-15	2	9.35E-72	-15	2
SL1344_4001	SL1344_4001	0.634199848	-0.58875917	0	1.89E-11	-15	2	0.000000346	-5.648005739	2	4.17E-65	-15	2
SL1344_4002	SL1344_4002	0.674860548	-0.571084689	0	0.209122633	3.199387255	0	0.92996951	0.448611055	0	0.513269427	-0.404835611	0
SL1344_4003	SL1344_4003	0.852515496	-0.386083964	0	0.238634864	1.624318962	0	0.611077952	1.220638079	0	0.046801393	-1.425720075	2
SL1344_4004	sodA	0.602331168	-0.690349054	0	na	na	3	na	na	3	na	na	3
SL1344_4005	yiiM	0.872408793	-0.290751283	0	na	na	3	na	na	3	na	na	3
SL1344_4006	SL1344_4006	na	na	3	0.326318874	1.695214884	0	0.823240134	0.770475397	0	0.033311597	1.57019595	1
SL1344_4007	cpxA	0.726590724	-0.577460829	0	na	na	3	0.386028553	-1.452564659	0	0.067442674	-1.165061517	0
SL1344_4008	cpxR	na	na	3	0.643500199	-0.330988016	0	0.888995883	0.564257911	0	0.896961646	0.109183688	0
SL1344_4009	cpxP	0.858069933	-0.424222683	0	0.752890877	0.414817425	0	0.965624831	-0.112528693	0	0.023576323	1.286291005	1
SL1344_4010	fieF	0.498181792	-0.713333275	0	0.684735164	-0.853701097	0	0.396926219	1.603970382	0	2.12E-29	-7.964529193	2
SL1344_4011	pfkA	0.001223885	-1.978924669	2	0.0000374	-3.964438815	2	2.31E-11	-15	2	0.086471328	-1.197538858	0
SL1344_4012	sbp	0.134139132	-1.147764347	0	0.825457281	0.297096998	0	0.925806334	0.458576837	0	0.572362937	0.462125968	0
SL1344_4013	cdh-a	na	na	3	0.440822825	1.106620332	0	0.979502356	-0.087989918	0	na	na	3
SL1344_4014	SL1344_4014	0.247856195	-0.99110544	0	0.002104662	-15	2	0.0000194	-6.257701513	2	2.34E-09	-3.24583189	2
SL1344_4016	SL1344_4016	0.644562304	-0.621236422	0	na	na	3	na	na	3	na	na	3
SL1344_4017	SL1344_4017	0.00000174	-2.622803726	2	0.002801534	-3.613941568	2	0.0000659	-4.287594364	2	6.56E-13	-4.036505186	2
SL1344_4018	SL1344_4018	na	na	3	0.671408027	0.636952275	0	0.973330431	0.249342454	0	0.095644042	-1.210700947	0
SL1344_4020	SL1344_4020	0.195551451	-1.075598982	0	na	na	3	na	na	3	na	na	3
SL1344_4021	ydeV	0.723863817	-0.480553251	0	5.44E-10	-15	2	2.08E-09	-7.373244015	2	6.58E-63	-10.38743713	2
SL1344_4022	ydeW	0.007317879	-1.633356953	2	0.011634673	-2.268118563	2	0.003071844	-3.206223224	2	1.95E-09	-2.770557456	2
SL1344_4023	ego	0.872892995	-0.298001092	0	0.528573219	-0.762804954	0	0.521275076	-1.128562863	0	0.168441863	1.056691551	0
SL1344_4024	ydeY	0.033103498	-1.57890715	2	0.132102531	-1.5042212	0	0.173187866	-1.732479884	0	0.140304503	-0.769457315	0
SL1344_4025	ydeZ	0.775937062	0.465147886	0	7.07E-11	-15	2	1.12E-10	-15	2	2.22E-34	-15	2
SL1344_4026	yneA	0.008359564	-2.324549424	2	5.69E-10	-15	2	0.017574201	-2.564422523	2	6.99E-08	-3.759049053	2
SL1344_4027	yneB	0.362835642	0.977108196	0	5.16E-12	-4.993134224	2	2.93E-10	-9.413205014	2	3.36E-34	-15	2
SL1344_4028	yneC	0.241024781	-0.977841697	0	0.000026	-6.520832163	2	0.000000325	-15	2	na	na	3
SL1344_4029	SL1344_4029	0.701490796	0.554734755	0	na	na	3	na	na	3	na	na	3
SL1344_4030	tpiA	1.90E-22	-15	2	0.720193145	-15	0	0.03899152	-15	2	na	na	3
SL1344_4031	yiiQ	0.966077247	0.136306763	0	0.855496034	-0.366808771	0	0.8776366	-0.446147981	0	0.003116725	-1.747414584	2
SL1344_4032	yiiR	na	na	3	1	-0.005742358	0	0.99815993	0.464627996	0	na	na	3
SL1344_4033	fpr	0.635777777	-0.591101059	0	0.860425533	0.009349532	0	0.953835584	0.324649172	0	na	na	3
SL1344_4034	glpX	0.544867652	0.73970082	0	0.490163985	1.577803794	0	0.673325708	1.107959172	0	0.014227917	1.988510061	1
SL1344_4035	glpK	na	na	3	0.002764596	-3.559901728	2	0.000075	-5.966238699	2	0.002986739	2.153293159	1
SL1344_4036	glpF	0.002099522	-1.954515867	2	na	na	3	na	na	3	na	na	3
SL1344_4037	yiiU	0.072841592	-1.251137255	0	na	na	3	na	na	3	na	na	3
SL1344_4038	menG	0.700939141	-0.511619985	0	na	na	3	0.907518281	0.519749636	0	0.690717235	0.327368061	0
SL1344_4039	menA	0.900409703	-0.362720143	0	0.059516434	-2.058160092	0	2.93E-08	-6.792540535	2	0.095239592	-0.634574362	0
SL1344_4040	hslU	0.004387799	-1.740060377	2	0.027381363	-2.033655554	2	0.213649013	-1.652214643	0	0.511982739	-0.370425775	0
SL1344_4041	hslV	0.0000485	-2.258445374	2	0.173366958	-1.433692037	0	0.104679528	-1.983023207	0	3.86E-28	-15	2
SL1344_4042	ftsN	0.998377499	-0.005080624	0	na	na	3	na	na	3	na	na	3
SL1344_4043	cytR	0.16564189	-1.12380376	0	0.524432509	-0.765554691	0	0.045724859	-2.295101864	2	0.00000103	-2.626715071	2
SL1344_4045	rpmE	na	na	3	5.37E-12	-15	2	2.41E-11	-15	2	2.58E-31	-15	2
SL1344_4046	SL1344_4046	0.79079916	0.452737249	0	0.189265366	2.430876718	0	0.878084488	-0.448155277	0	0.091673427	1.328763464	0
SL1344_4047	SL1344_4047	0.100725374	-1.218444228	0	3.46E-13	-4.552772501	2	2.14E-08	-7.35034499	2	3.78E-71	-15	2
SL1344_4048	metJ	na	na	3	0.013448804	-2.310549424	2	0.000000061	-6.273256328	2	0.136776834	-0.784207259	0
SL1344_4049	metB	0.141893672	-1.158873176	0	0.448363985	0.977923793	0	1	0.016298381	0	0.338800051	-0.666552143	0
SL1344_4050	metL	2.41E-10	-3.543923823	2	3.42E-10	-5.933995503	2	2.88E-12	-15	2	1.26E-29	-15	2
SL1344_4051	SL1344_4051	0.644345618	0.641442112	0	4.48E-18	-5.372015342	2	1.20E-10	-15	2	6.12E-26	-8.05182127	2
SL1344_4052	SL1344_4052	0.576111377	0.704043714	0	2.44E-10	-15	2	1.13E-10	-15	2	1.92E-30	-15	2
SL1344_4053	SL1344_4053	0.966077247	0.132748185	0	0.644988691	1.064496086	0	0.673275748	1.094814394	0	0.951557878	0.051089313	0
SL1344_4054	SL1344_4054	0.460721498	0.803945051	0	0.097612148	-2.178726186	0	0.807692046	-0.629054709	0	2.02E-27	-15	2
SL1344_4055	metF	0.077449808	-1.25525102	0	na	na	3	1	0.179857458	0	0.00094332	-1.689414106	2
SL1344_4056	katG	0.158094621	-1.129939648	0	0.204223547	1.368356431	0	0.047012176	-2.27439545	2	0.003788145	-1.884753289	2
SL1344_4057	yijF	0.219344913	-1.040034107	0	0.425174421	1.039085208	0	0.79276577	0.833882895	0	0.276290146	-0.829082389	0
SL1344_4058	gldA	0.621463179	0.693842023	0	0.698492705	0.750720756	0	0.97497254	0.49295269	0	0.512318718	0.508526531	0
SL1344_4059	talC	0.02530032	-1.864293326	2	0.431487737	1.055909831	0	0.835475238	-0.701893877	0	0.148697851	-0.612721245	0
SL1344_4060	ptsA	0.316438739	-0.891804449	0	0.301379495	2.322493304	0	0.604030385	1.398726444	0	0.017449504	1.320005426	1
SL1344_4061	frwC	0.354219326	-0.860529564	0	0.232264159	2.162809353	0	0.82453028	0.75268259	0	0.005553297	1.849281383	1
SL1344_4063	pflD	0.706953145	0.547049948	0	0.613509247	-0.751941802	0	0.92996951	1.20195269	0	0.503869582	-0.520351476	0
SL1344_4064	pflC	0.850965459	-0.339414558	0	0.791518043	0.509585581	0	0.562950959	1.314135225	0	0.096466698	1.210402375	0
SL1344_4065	frwD	na	na	3	0.743273167	1.009466671	0	0.504547804	1.566925041	0	na	na	3
SL1344_4066	yijO	0.667573702	-0.552453377	0	0.504464314	1.336633215	0	0.396926219	1.590893717	0	0.5370859	0.372742623	0
SL1344_4068	yijP	0.459572501	-0.780775227	0	0.566039693	-0.461753148	0	0.646505944	1.151384228	0	0.50006157	0.554162409	0
SL1344_4069	ppc	0.608898556	0.713079128	0	0.244183551	1.284836382	0	0.683462141	1.088698238	0	0.088698225	1.264246173	0
SL1344_4070	argE	0.214860675	-1.03420832	0	0.856084544	-0.250471211	0	0.224155606	-1.641410112	0	0.081047401	1.763483793	0
